name,price
Python数据分析 第2版,60.70
Python 3破冰人工智能 从入门到实战,51.90
scikit-learn机器学习（第2版）,51.90
Python 3 数据分析与机器学习实战,50.30
Python网络爬虫从入门到实践+Python 3网络爬虫开发实战（全2册）数据抓取指,97.90
（正版）Python核心编程(第二版)(Python领域经典作品、非常有名的开发指南),59.90
包邮 Python自动化运维：技术与最佳实践|3804188,46.90
Python文本分析文本分析，Python，自然语言处理，数据挖掘,55.00
包邮 Python编程之美 最佳实践指南 Python基础教程书籍流畅的Python 深入学习,61.60
利用Python进行数据分析 原书第2版 基础教程Python实践从入门到精通计算机数据分析,77.30
Python编程无师自通 专业程序员的养成 Python3网络爬虫开发教程书籍,39.20
PYTHON数据可视化之MATPLOTLIB实践,43.10
包邮 Python绝技：运用Python成为数据工程师,59.80
Python3网络爬虫开发实战+数据分析入门+Python 3爬虫 数据清洗与可视化实战书籍 3本,139.60
树莓派机器人实战秘笈 第3版+树莓派开发实战+Python树莓派编程书籍 4本,190.00
PYTHON高性能编程+流畅的Python  Python 学习入门到进阶 Py,163.20
官方正版包邮 Python编程：从数据分析到数据科学 Python语言基础教程数据科学大数据分析书籍,53.72
Python语言程序设计基础 第 二版  教育部大学计算机课程改革项目规划教材 教,34.90
数据科学导论：Python语言实现（原书第2版）,46.60
Python开发向导/云计算工程师系列,40.80
Web程序员成功之路：Python Web开发学习实录（附DVD-ROM光盘1张）,52.10
Python网络爬虫实例教程（视频讲解版）,41.70
Raspberry Pi：Python编程入门,26.20
Python编程快速上手,49.00
micro:bit魔法修炼之Mpython初体验,46.80
量化投资：以Python为工具,69.00
Python编程快速上手+Java编程思想（第4版）全2册 网络爬虫书籍计算机 视频编程从入门到精通,144.80
笨办法学Python3 python基础教程编程入门 编程python视频教程python书籍 py,36.00
Python语言程序设计/高等学校计算机专业规划教材,33.10
Python程序设计,73.70
Python编程-从入门到实践 从基本概念到完整项目开发 机器学习 数据处理 编程语言程序设计,73.00
现货包邮 R语言实战第2版 [R in Action:Data Analysis and],73.90
包邮Python与量化投资从基础到实战+量化交易之路+零起点Python大数据与量化交易+量化投资,282.00
深度学习：基于Keras的Python实践+Keras快速上手 2本,102.90
利用Python开源工具分析恶意代码,72.20
毫无障碍学Python,38.50
Python程序设计开发宝典,47.90
Python程序设计基础教程,33.30
Python密码学编程,49.70
Python数据科学,74.20
Python数据分析与挖掘实战 张良均 机械工业出版社,48.30
Computer Coding Python Projects for KidsDK 图解儿童编程,108.00
Python程序设计/企业级卓越人才培养解决方案“十三五”规划教材,38.60
Python 3.x入门到应用实践,69.30
Python学习：从入门到实践/中国高校创意创新创业教育系列丛书,42.30
Python金融衍生品大数据分析,73.20
PYTHON数据分析入门:从数据获取到可视化,43.10
二级Python编程指南/21世纪高等学校计算机基础实用规划教材,39.60
数据科学与分析：Python语言实现,60.60
Python程序设计与应用/应用型高等院校改革创新示范教材,32.30
Python二维游戏编程/全国高等农林院校“十二五”规划教材,36.10
精通Python网络编程（第2版 影印版 英文版）,86.10
PYTHON编程无师自通 专业程序员的养成,42.20
Python数据处理 [美] 杰奎琳·凯泽尔(Jacqueline Kazil)凯 978,57.42
Python编程基础与应用,33.30
Python语言程序设计基础,28.00
Python编程与应用实践,53.60
Python数据分析基础,49.60
我的Python世界,50.00
Python 3 程序设计,41.70
Python程序设计基础/高等学校计算机基础教育教材精选,34.30
实用数据科学和Python机器学习（影印版）,85.60
Python基础实例教程/普通高等教育“十三五”规划教材（计算机专业群）,22.90
Python自动化开发实战,62.60
Python程序设计（原书第2版）,98.70
Python与量化投资 从基础到实战 王小川Python量化投资策略分析技术工具书籍,64.00
Head First Python 中文版第二版  O'Reilly 深入浅出,79.00
【包邮】Python程序员面试算法宝典+剑指Offer 名企面试官精讲典型编程题,98.00
数据科学手册,81.70
量化交易之路 用Python做股票量化分析 湖北新华书店,81.88
教孩子学编程 Python语言版,44.25
程序设计导论：Python计算与应用开发实践（原书第2版）,84.10
玩转Python轻松过二级,35.70
包邮 零起点TensorFlow快速入门+Python机器学习快速入门 2本,95.60
"Python金融大数据分析  （德）希尔皮斯科,姚军",62.40
【RY】教孩子学编程Python语言版 python从入门到实践 python核心技术 pytho,40.10
Python网络爬虫实战/清华科技大讲堂,73.40
Python程序设计,27.90
Python程序设计第一课,38.70
4本 深度学习+机器学习 周志华+百面机器学习+Python神经网络编程 人工智能书籍,305.00
包邮 小小的Python编程故事+青少年学Python+编程猫 孩子们写的编程入门书,206.60
Web接口开发与自动化测试――基于Python语言+全栈性能测试修炼宝典 JMeter实战,108.00
ArcGIS下的Python编程 面向设计师的编程设计知识系统PADKS建筑景观规划设计基础理论工具,173.10
Python Deep Learning Cookbook,498.00
Selenium自动化测试之道——基于Python和Java语言 计算机 软件开发,45.80
Python深度学习：基于TensorFlow 深度学习框架教程书籍,59.00
Python王者归来,112.60
人工智能实验教材/职业教育1 python“智龙X计划”指定用书,174.20
深度学习+机器学习实战（python基础教程指南） deep learning,175.20
量化投资 以Python为工具 Python语言处理 数据Python金融 量化投资,65.80
Python基础教程 第3版Python简明教程书籍 Python编程从入门到实践 灵程序设计丛书,69.80
包邮 Python学习手册（原书第5版） 计算机与互联网 书箱|8053406,148.90
Python语言程序设计基础 第 二版  教育部大学计算机课程改革项目规划教材 教,33.30
机器人系统设计与制作：Python语言实现,43.30
Python网络爬虫实例教程（视频讲解版）,41.70
Raspberry Pi：Python编程入门,26.20
Python编程快速上手,49.00
micro:bit魔法修炼之Mpython初体验,46.80
Python语言程序设计/高等学校计算机专业规划教材,33.10
Python程序设计,73.70
数据科学实战之网络爬取：Python实践和示例,54.50
包邮 scikit-learn机器学习 第2版+利用Python进行数据分析 原书第2版 3本,221.00
玩转Django 2.0 黄永祥 深入剖析Django 2.0 Python Web网站项目开发实战,47.50
Python数据分析基础 阮敬 编 中国统计出版社 数据库 正版书籍,69.80
Python金融实战,56.90
官方正版 Python编程基础与案例集锦（中学版） Python基本语法内置对象用法技巧教程书籍,49.00
正版包邮 Python自然语言处理 计算机编程语言 软件开发书籍人民邮电出版社 Python入门基础,53.40
2本 Python编程从零基础到项目实战+Python3 网络爬虫开发实战,112.80
Python程序设计案例教程：从入门到机器学习（微课版）,45.10
Python程序设计基础,20.50
Python量化交易实战 王晓华 Python量化交易教程书籍,55.80
玩转Python网络爬虫,52.10
Python基础教程（附教学视频）,35.20
Python程序设计案例课堂,54.50
PYTHON神经网络编程,51.80
Python数据挖掘：概念、方法与实践,46.60
包邮现货 编写高质量代码：改善Python程序的91个建议[按需印刷]|3770256,59.00
Python计算机视觉编程,56.60
机器学习系统设计：Python语言实现,46.60
Python网络数据采集（第2版影印版 英文版）,70.30
2册 小天才学Python（教学指导）Python编程指导书 让孩子掌握Python语言和基本编程,55.00
人工智能--Python实现(影印版)(英文版),61.78
现货 Python3 网络爬虫开发实战  Scrapy数据分析处理手册 数据抓取指南,66.00
包邮卷积神经网络的Python实现+解析深度学习 卷积神经网络原理与视觉实践书籍,95.60
MicroPython入门指南 邵子扬 9787121328466,34.22
Python机器学习——数据分析与评分卡建模 微课版,41.20
【Python基础教程】Python网络编程第3版 Python3爬虫数据分析编程理解技术 Pyth,53.40
"Qgis Python Programming Cookbook, Second E...",563.00
Python程序设计案例教程：从入门到机器学习（微课版）,45.10
小天才学Python,24.40
Python程序设计基础,20.50
Python量化交易实战 王晓华 Python量化交易教程书籍,55.80
玩转Python网络爬虫,52.10
深度学习入门 基于Python3的理论与实现 从零创建深度学习模型 深度学习入门经典畅销书 神经网,59.00
Python基础教程（附教学视频）,35.20
Python程序设计案例课堂,54.50
机器学习实战python基础教程指南 机器学习书籍python基础教程python与机器学习实战机器,62.10
机器学习实战（python基础教程指南）python机器概念书籍 计算机电脑程序设计开发,46.00
PYTHON神经网络编程,51.80
机器学习入门之道 机器学习人工智能自学教程 人工智能商业化指南 Python代码,41.30
Python数据挖掘：概念、方法与实践,46.60
卷积神经网络的Python实现+解析深度学习 卷积神经网络原理与视觉实践 CNN搭建深度卷积神经网络,115.00
实用生物信息学+生物信息学分析与实践 MATLAB生物信息学工具箱应用+Python生物信息学数据管,206.50
包邮 Python数据分析与数据化运营/数据分析与决策技术丛书/计算机Python书|6998727,67.30
编程景观 Grasshopper Python NetLogo面向设计师的编程设计书,88.00
Python与机器学习实战：决策树、集成学习、支持向量机与神经网络算法详解及编程实现,48.30
现货高教版 Python语言程序设计基础 第2版 嵩天著 高等教育出版社978704047,33.90
4本 量化交易之路 用Python做股票量化分析+零起点Python机器学习快速入门,258.60
包邮Python 3学习笔记(上卷) 雨痕 python3.6语言教程入门到实战书籍,66.60
OpenCV+TensorFlow深度学习与计算机视觉实战 Python网络爬虫实战深度学习实践,172.00
包邮现货 编写高质量代码：改善Python程序的91个建议[按需印刷]|3770256,59.00
Python 3网络爬虫开发实战 项目开发教程书籍 分布式视频爬虫录音爬虫编写 数据爬取技术,74.20
多元统计分析——R与Python的实现,31.40
Python即学即用,41.30
(全彩版）2本 教孩子学编程Python语言版+趣学Python零基础学编程Python入门教程,92.00
流利的Python语言(影印版)(英文版),84.49
【正版包邮】利用Python进行数据分析(美)麦金尼著 python基础教程/python数据分析,69.00
"Python3程序开发指南(第2版,修订版)",49.70
包邮现货Effective Python：编写高质量Python代码的59个有效方法|4912460,40.10
Python Web开发实战 董伟明 9787121297335,60.90
